"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;1679982080;1;"GUARDABARROS I";;;;;"No disponible (penuria)";
14/12/2023;9800291280;1;INTERCAMBIADOR;;;;;;
13/12/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
11/12/2023;1682627880;1;"CREMALLERA EST";;312771038;VF72CYHSMM4372674;;"PR con clave";
07/12/2023;16800261XT;1;"REJILLA SUPERIEUR";;;;;"No disponible (penuria)";
07/12/2023;1680043080;1;ARMADURA;;;;;"No disponible (penuria)";
07/12/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
01/12/2023;1692287080;20;BALANCIN;;312716748;;;"No disponible (penuria)";
29/11/2023;16719698ZD;1;ALMOHADILLA;;312683386;VF7SA9HP0AW585648;;"No disponible (penuria)";
23/11/2023;9817643380;1;JUNTA;;312690639;;;"No disponible (penuria)";
22/11/2023;16719698ZD;1;ALMOHADILLA;;312636648;VF7SA9HPKCW565670;;"No disponible (penuria)";
17/11/2023;1692287080;20;BALANCIN;;312716750;;;"No disponible (penuria)";
16/11/2023;1654515880;1;"KIT COMPLETO";;;;;"No disponible (penuria)";
15/11/2023;16719698ZD;1;ALMOHADILLA;;312623219;VF7SA9HPKCW617448;;"No disponible (penuria)";
10/11/2023;9817643380;1;JUNTA;;312690635;;;"No disponible (penuria)";
18/09/2023;1611777980;1;"KIT DECORACIÓN";++;;;;20/12/2023;
12/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
