"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;K55397091AC;1;MOLDURA;;;;;20/12/2023;
13/12/2023;156093407;1;"PARACHOQUE TRASERO";;8696491;;;21/12/2023;
12/12/2023;52027032;1;SENSOR;;8694796;ZFA35600006R38064;;09/01/2024;
11/12/2023;K04589714AD;1;MANECILLA;;8692826;;;18/12/2023;
11/12/2023;K05028438AA;16;"GRUPO SUJEGONES";;8692828;;;;
11/12/2023;K0ZT54SZ0AA;1;MOLDURA;;8692827;;;18/12/2023;
07/12/2023;9810203880;1;"PARABRISAS AT.LAM.R.";;8692829;;;;
04/12/2023;6000632161;1;"BATERIA TRACCION LV";;8686613;;;;
04/12/2023;K68519394AA;2;ANILLO;;8686616;;;;
01/12/2023;52231016;1;"ELEVADOR DE";;8686036;;;;
30/11/2023;71807418;1;"KIT EMERGENCIA";;8683300;;;;
29/11/2023;50290633;2;"JUEGO ALFOMBRILLAS";;8681678;;;04/01/2024;
27/11/2023;10318884;5;JUNTA;;8681679;;;15/01/2024;
21/11/2023;735402489;1;EMBLEMA;;8675187;;;;
20/11/2023;71796002;1;"ELECTROV.EGR RECOND.";;8675185;;;;
17/11/2023;K55157251AE;1;"ESPEJO RETROVISOR";;8669188;;;18/12/2023;
16/11/2023;K68388610AD;1;"CENTRALITA ELEC-";;8667826;;;22/01/2024;
14/11/2023;50290633;3;"JUEGO ALFOMBRILLAS";;8669189;;;18/12/2023;
14/11/2023;735740902;1;MANECILLA;;8675181;;;19/12/2023;
10/11/2023;46862334;1;"VALVULA TPMS";;8662469;;;;
10/11/2023;50290974;1;"JUEGO ALFOMBRILLAS";;8662472;;;23/01/2024;
07/11/2023;735749743;1;"PARACHOQUE DELANTERO";;8662468;;;20/12/2023;
03/11/2023;735740902;1;MANECILLA;;8675180;;;18/12/2023;
03/11/2023;K05093913AA;1;RADIADOR;;8660292;;;;
31/10/2023;46862334;1;"VALVULA TPMS";;8653267;;;;
31/10/2023;K68250915AD;1;"MANGA FLEXIBLE";;8662473;;;20/12/2023;
25/10/2023;51889078;1;DEFENSA;;8648437;ZFA3120000JE03375;;;
25/10/2023;K68367380AA;1;"MOTOR INCOMPLETO";;8642933;3C4NJDCH8KT624727;;;
23/10/2023;735749743;1;"PARACHOQUE DELANTERO";;8641624;;;20/12/2023;
20/10/2023;9810203880;1;"PARABRISAS AT.LAM.R.";;8640978;;;;
10/10/2023;53386952;1;EMBLEMA;;8627552;;;;
03/10/2023;52032095;1;BISAGRA;;8615677;;;;
02/10/2023;K04779774AF;1;TUBO;;8612378;;;;
29/09/2023;735570106;1;MANECILLA;;8615679;;;;
19/09/2023;46350119;5;JUNTA;;8612377;;;;
18/09/2023;9810203880;1;"PARABRISAS AT.LAM.R.";;8604090;;;;
18/09/2023;9810203880;1;"PARABRISAS AT.LAM.R.";;8600283;VXFVBYHRMN7062890;;;
18/09/2023;9810203880;1;"PARABRISAS AT.LAM.R.";;8600285;;;;
06/09/2023;46862334;1;"VALVULA TPMS";;8580831;;;;
