"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1611508580;0;"RETROVISOR EXT D";;;;;20/09/2023;
18/09/2023;1684706480;0;OBTURADOR;;;;;20/09/2023;
18/09/2023;7467A3;5;FIJA-EQUIPAJES;++;;;;21/09/2023;
18/09/2023;8665A8;0;MONOGRAMA;;;;;20/09/2023;
18/09/2023;9170LC;1;"LLAVE CERRADURA";;;VF7DDYHYSLJ597950;;21/09/2023;
18/09/2023;9666507980;0;TUERCA;;;;;20/09/2023;
15/09/2023;1351VW;1;"RACOR ENTRADA";++;312200726;;;20/09/2023;
15/09/2023;1607687680;1;"RACOR DE AIRE";++;312200725;;;20/09/2023;
15/09/2023;1654515880;1;"KIT COMPLETO";;312200733;;;"No determinado";
15/09/2023;1654515880;1;"KIT COMPLETO";;312200734;;;"No determinado";
15/09/2023;1681993980;1;"LLAVE EMISOR HF";;312200727;VF3YBTMFB12712940;;20/09/2023;
15/09/2023;9170LC;1;"LLAVE CERRADURA";;312200728;VF7FC8HXB26694238;;20/09/2023;
15/09/2023;9821043280;1;"TUBO FAP NUEVO TR PSA S007 PSA SF00";;312200737;;;"Distribucion controlada : Campana de seguridad en curso";
12/09/2023;1682785680;1;"RADAR DE ÁNGULO";;;VR3FPHNSTNY602877;;20/09/2023;
12/09/2023;1682813780;1;"CARGADOR BATERI";;312192315;VF3M4DGZULS121647;;"PR con clave";
12/09/2023;9811718480;1;"PILOTO ANTINIEB I DE PARE CHOCS AR";;;;;"No disponible (penuria)";
12/09/2023;9820605680;1;"TUBO FREON";;312164495;;;"No disponible";
06/09/2023;1634154080;1;"MOTOR DI EST";+++;312127483;VR3EFYHYCLN557774;;20/09/2023;
05/09/2023;23163578;1;"O:RACOR AIRE";;312119219;;;"No disponible (penuria)";
05/09/2023;98069972XT;1;"BLOQUE MANDO COM 2005 EV3";;312147028;;;"No disponible";
05/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
25/08/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
24/08/2023;9812279880;1;"CATALIZADOR TR PSA K677";+++;312068051;;;21/09/2023;
23/08/2023;110437;1;"JUNTA SOPORTE";;312068056;;;"No determinado";
23/08/2023;1680022880;1;"PILOTO AR D";;312068061;;;"No disponible (penuria)";
04/08/2023;1634154080;1;"MOTOR DI EST";;311957149;;;"No disponible (penuria)";
03/08/2023;1682813780;1;"CARGADOR BATERI";;311953725;VF3M4DGZULS121647;;"PR con clave";
28/07/2023;9819013680;0;"CABLERIA DETECC";;;;;20/09/2023;
19/07/2023;1682620880;1;"DEPÓSITO UREA";;311861410;;;"No disponible (penuria)";
14/07/2023;9803400180;1;"RACOR DE AIRE";;311833400;;;"No disponible (penuria)";
05/07/2023;9822498480;1;"TAPA CARCASA";;;;;"No disponible (penuria)";
05/07/2023;YQ00162280;1;"OBTURADOR MAND";;311774878;;;"No disponible";
28/06/2023;180675;1;"BIELETA ANTIPAR AV";;311738751;;;"No disponible (penuria)";
31/05/2023;9822498280;1;"TAPA CARCASA";+++;312125195;;;20/09/2023;
26/05/2023;7136KP;1;"GUARDABARROS I";;311561944;;;"No disponible (penuria)";
10/05/2023;8320K8;1;"EMBELLECEDOR D";;311449860;;;"No disponible";
10/05/2023;9800987980;0;"RACOR SALIDA";;;;;20/09/2023;
09/05/2023;1608953680;1;"CONJ EMBELLECED";+++;311449831;;;19/09/2023;
08/05/2023;9820605680;1;"TUBO FREON";;311444154;VF3VEEHZ7M7823871;;"No disponible";
17/04/2023;16800261XT;1;"REJILLA SUPERIEUR";;311324249;VF37JBHY6JN525247;;"No disponible (penuria)";
13/04/2023;16800261XT;1;"REJILLA SUPERIEUR";;311295570;;;"No disponible (penuria)";
08/03/2023;9811016980;1;"EMBELLECEDOR SUPERIEUR";;311052337;;;"No disponible (penuria)";
23/02/2023;9665878080;1;"CAJA PGA";;310943686;;;"No disponible (penuria)";
20/02/2023;1632266080;1;"ESPUMA EXPANSIB";;310910817;;;"No disponible";
20/02/2023;168132071T;1;"PROTECTOR D";;310910808;VF37JBHY6GJ699913;;"No disponible (penuria)";
24/11/2022;1663366080;1;"BSI EST";;310269309;;;"No determinado";
10/05/2022;1613438280;0;"EMBELLECEDOR I";;;;;15/05/2023;
