"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;1645558080;5;FILTRO;;312778175;VF3MJEHZRJS189489;;"Distribucion controlada : Campana de seguridad en curso";1
14/12/2023;1689816780;0;"ESCOBILLA PLANA D";;;;;15/12/2023;1
14/12/2023;9808417580;0;"CERRADURA D";;;;;15/12/2023;1
14/12/2023;9808422680;0;"PANEL ESTANC D PORTES COULISSANTES";;;;;18/12/2023;1
13/12/2023;1654515680;1;"KIT COMPLETO";;312769216;VF3CCHMRPJW075308;;"No determinado";1
13/12/2023;9817643380;1;JUNTA;;312769210;;;"No disponible (penuria)";1
12/12/2023;1607832480;1;"ETIQUETA CONST";;312770373;VR3EFYHT2NJ859659;;"PR con clave";1
12/12/2023;2148A7;1;"MUELLE ASISTENC ASS";;312764313;VF34H9HZHAS006590;;"No disponible (penuria)";1
12/12/2023;9817643380;1;JUNTA;+++;312764317;VF3LRHNSTKS082945;;20/12/2023;1
04/12/2023;9821349980;1;"PILOTO AR ALETA I";+++;312706899;;;20/12/2023;1
29/11/2023;1677094680;1;"RUEDA REPUESTO GALETTE";;;;;;1
24/11/2023;1440946880;1;"TUBO FAP NUEVO";+++;312651879;VF3YDBPFCPG003082;;15/12/2023;1
23/11/2023;1627123380;1;"MOTOR EST GASOL";;312642494;VF3CCHMZ6FW017290;;"No disponible (penuria)";1
23/11/2023;9672883980;1;"CATALIZADOR TR PSA K647";;312642489;VF3CCHMZ6FW017290;;"No disponible (penuria)";1
05/10/2023;168132071T;1;"PROTECTOR D";;312320637;VF37JBHY6JN505758;;"No disponible (penuria)";1
07/08/2023;198275;1;HORQUILLA;;311961532;VF3PN8HTC88723567;;"No disponible (penuria)";1
13/07/2023;5430W0;1;"MODULO EMISOR";;311827378;;;"No disponible";1
07/07/2023;9807658080;1;"KIT SOPORT FARO I";;311797451;;;"No disponible";1
01/03/2023;7013R5;1;"DEFLECTOR AIRE I AV";;;VF36D9HZC21145644;;"No disponible";1
16/02/2023;9812447280;1;"PANT TÉRMICA";;310892137;;;"No disponible";1
12/12/2022;1635454880;0;"E:ESC PLANA L550 HOOK + U + M +";;;;;12/12/2023;1
12/12/2022;693684;0;"TUERCA CON BASE 12X175";;;;;12/12/2023;1
09/12/2022;9780FS;1;"JUEGO DE GANCHO RADIONAVIGATIONRNEG";+;310421942;;;18/01/2024;1
10/05/2022;98187354ZD;0;"RED PROTECCION";"- - ";;;;14/11/2023;1
