"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;1609531680;1;"LLAVE (INSERTO)";;;VF3MRHNSJKS255563;;"PR con clave";1
14/12/2023;1613502880;1;"EMBELLECEDOR I";++;;;;19/12/2023;1
14/12/2023;8546S1;1;"PROTECTOR I";;;;;"No disponible";1
14/12/2023;9023RK;1;"JUNTA I";++;;;;19/12/2023;1
14/12/2023;9812981880;0;"MONOGRAMA I LAT";;;;;18/12/2023;1
14/12/2023;9817224280;0;"TUERCA CON BASE";;;;;18/12/2023;1
14/12/2023;9817643380;1;JUNTA;+++;312778819;VF3MRHNSRKS187404;;20/12/2023;1
13/12/2023;1607832480;1;"ETIQUETA CONST";;;VR3EFYHT2NN570410;;18/12/2023;1
13/12/2023;4601L3;1;"CILINDRO MAESTR DIAM 23 8";++;312778812;;;18/12/2023;1
11/12/2023;1681993980;1;"LLAVE EMISOR HF";;312761542;VF3YCBPFB12U92447;;"PR con clave";1
07/12/2023;55590467;1;"BUJIA PRECALENT";;312747675;;;15/12/2023;1
05/12/2023;1677096780;1;"UTILLAJE R/R";;;VR3EFYHZ3PJ887240;;"No determinado";1
05/12/2023;1679450480;1;"KIT EMB DVA";;312718180;VR3ECYHYCKJ750379;;"No determinado";1
05/12/2023;55590467;1;"BUJIA PRECALENT";+++;312729089;W0LGM6EL8C1069668;;15/12/2023;1
05/12/2023;95526825;1;"CATALIZ FAP EST";;312718182;W0LPD6E63FG049016;;"No disponible (penuria)";1
30/11/2023;1654515780;1;"KIT CORREA";;312693616;VF3MRHNYWHL029143;;18/12/2023;1
29/11/2023;1607832480;1;"ETIQUETA CONST";;312690827;VR3EFYHT2PN502091;;"PR con clave";1
23/11/2023;1607144380;1;"LLAVE ANTIRROBO";;;VF3MJEHZRKS407903;;"PR con clave";1
22/11/2023;9817643380;1;JUNTA;;312645797;;;"No disponible (penuria)";1
14/11/2023;98153725VD;1;EMBELLECEDOR;;312581566;VF3MRHNYHHS183826;;"No disponible";1
13/11/2023;95529926;1;"CATA FAP GAS";;312568412;W0VJ7H601KV624682;;"No disponible (penuria)";1
10/11/2023;55196309;12;"JUNTA DE TAPON";;312571919;;;"No disponible";1
08/11/2023;1684882480;1;"REANUD ADM EST";;312548684;W0LGM6EY8A1034637;;"No disponible (penuria)";
02/11/2023;96773206ZD;1;ALFOMBRA;;;VF3CUBHY6FY075635;;"No disponible";1
19/10/2023;1692287080;20;BALANCIN;;312424530;VR3EFYHYCLN565522;;"No disponible (penuria)";1
31/08/2023;9327EF;1;"EMBELLECEDOR D";+;312096352;;;14/02/2024;1
18/08/2023;9194855;1;"LLAVE CERRADURA";;312022857;VN1F9A1D637555213;;"PR con clave";1
09/08/2023;1677096780;1;"UTILLAJE R/R";;;;;"No determinado";1
09/08/2023;9806549580;1;"TUBO FREON";;;VF3VFAHKHKZ024466;;"No disponible (penuria)";1
01/08/2023;1677096780;1;"UTILLAJE R/R";;311949840;;;"No determinado";1
26/04/2023;1651754980;1;"CILINDRO EST D";;311385508;;;"Pieza en curso de referencia";1
03/03/2023;93165580;2;"AEROSOL PINTURA";;311079833;;;"No disponible";1
