"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;11900172;0;"TORNILLO EJE M8X16";;;;;20/09/2023;
18/09/2023;11900367;0;"TORNILLO CHAPA";;;;;20/09/2023;
18/09/2023;13272719;0;"ELEMENTO FILTR";;;;;20/09/2023;
18/09/2023;13364013;0;"O:GUARNECIDO FR INT";;;;;20/09/2023;
18/09/2023;13482240;1;"LLAVE EMISOR HF";;;W0V0XEP68J4191930;;21/09/2023;
18/09/2023;1690270380;1;"CARGADOR BATERI";;;VXKUKZKXZMW015385;;21/09/2023;
18/09/2023;23163578;1;"O:RACOR AIRE";;312202782;;;"No disponible (penuria)";
18/09/2023;23430312;0;"ELEMENTO FILTR";;;;;20/09/2023;
18/09/2023;39032998;0;"ELEMENTO FILTR";;;;;20/09/2023;
18/09/2023;55561627;0;"JUNTA CAJA";;;;;20/09/2023;
18/09/2023;55568033;0;"JUNTA DE BOMBA";;;;;20/09/2023;
18/09/2023;55578336;0;"BUJIA PRECALENT";;;;;20/09/2023;
18/09/2023;95530760;0;"VÁLVULA EGR EST";;;;;20/09/2023;
18/09/2023;YP000366YX;0;"EMBELLECEDOR COTE PASSAGER";;;;;20/09/2023;
15/09/2023;13413333;1;MOTOVENTILADOR;;312202788;;;"No disponible";
15/09/2023;1678128180;1;"PANEL LATERAL I";++;312202769;;;20/09/2023;
15/09/2023;20812594;1;"BRAZO ESCOBILLA D";;312202786;W0LPD9E86H1088854;W0LPD9E86H1088854;"No disponible";
15/09/2023;90542117;1;"PRODUCT BLOCAJE";;312202791;;;"No disponible (penuria)";
15/09/2023;YR00102380;10;TUERCA;;;;;20/09/2023;
14/09/2023;13574868;1;"LLAVE EMISOR HF";;;W0LPD6EH8D1063091;;19/09/2023;
14/09/2023;1638952780;1;"REFUERZO LARG I ASS";+++;;;;20/09/2023;
14/09/2023;1690619880;1;"CAJA DE MANDO";;312202685;VXKUSHNEKNW044705;;"PR con clave";
14/09/2023;9834393380;1;"ACOLCHADO RESP I";+++;312202716;;;20/09/2023;
14/09/2023;98345152XP;1;"GUARNECIDO RESP I";+++;312202705;;;20/09/2023;
14/09/2023;9834794680;1;"JUNTA DE PUERTA I";+++;312202766;;;20/09/2023;
14/09/2023;98355018PR;1;GUARNECIDO;++;312183495;;VXKUSHNEKNW044705;27/09/2023;
14/09/2023;9836074980;1;"AIRBAG LATERAL D";++;312202703;;;22/09/2023;
14/09/2023;98362354ZD;1;"AIRBAG LATERAL I";++;312202693;;VXKUSHNEKNW044705;22/09/2023;
14/09/2023;9837507180;1;"PUERTA TRASERA I";+++;312202688;;VXKUSHNEKNW044705;20/09/2023;
14/09/2023;9843175680;1;"AIRBAG I";++;312202699;;;22/09/2023;
14/09/2023;YR00053980;2;"TORNILLO M12";;312183485;;;"No disponible";
13/09/2023;24290959;1;"FILTRO ACEITE";+++;312176518;W0VBE8ET8N8036612;W0VBE8ET8N8036612;20/09/2023;
13/09/2023;24298763;1;"VARILLA C/S";+++;312176566;W0VBE8ET8N8036612;W0VBE8ET8N8036612;20/09/2023;
13/09/2023;55559377;4;INYECTOR;;312183502;;;"No disponible";
12/09/2023;1636249980;1;"CAJA CAMBIO EST CP19X75";;312164892;VXKUPHNEKP4079152;VXKUPHNEKP4079152;20/09/2023;
12/09/2023;1682620880;1;"DEPÓSITO UREA";++;312174545;W0V7D9EC2J4256828;W0V7D9EC2J4256828;22/09/2023;
11/09/2023;25204641;1;"BOMBA DE VACIO";;312158950;W0VBE8ET8M8023423;W0VBE8ET8M8023423;18/09/2023;
09/09/2023;39246201;1;"SD NAVEGACIÓN";;312159061;;;"No disponible";
08/09/2023;86802964;1;CONECTOR;;312137527;;;"No disponible";
08/09/2023;95509908;1;MOTOVENTILADOR;+++;312159267;W0L6VZU1AJ9630795;W0L6VZU1AJ9630795;20/09/2023;
06/09/2023;13403239;1;"O:RACOR AIRE";;312131006;W0L0XEP68H4052580;W0L0XEP68H4052580;"No disponible (penuria)";
06/09/2023;13598775;1;"MODULO EMISOR";;312137536;W0LGT6GLXD1033854;sedavi;"No disponible (penuria)";
