"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;037640;0;"TORNILLO M8X1 25-16";;;;;20/09/2023;1
18/09/2023;1500GV;1;"DEPOSITO COMBUS";++;;;;21/09/2023;1
18/09/2023;1507F5;1;"TUBO DE RETORNO";++;;;;21/09/2023;1
18/09/2023;1507F6;1;"TUBO COMBUSTIBL";++;;;;21/09/2023;1
18/09/2023;1525JV;1;AFORADOR;++;;;;21/09/2023;1
18/09/2023;1570P3;1;"RAMPA INYECTOR";++;;;;21/09/2023;1
18/09/2023;1610704680;1;"JGO 2 DISCOS DIAM 266 EP 22";;312201560;VF3LBYHYPLS183040;;"No disponible (penuria)";1
18/09/2023;1616875880;0;"ALFOMB TERCIOP AV AR DAG";;;;;20/09/2023;1
18/09/2023;621546;0;"PORTALAMPARA PY21W";;;;;20/09/2023;1
18/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";1
18/09/2023;9821043280;1;"TUBO FAP NUEVO TR PSA S007 PSA SF00";;312201978;VR3FHEHYRKY171989;;"Distribucion controlada : Campana de seguridad en curso";1
18/09/2023;9836038980;0;"LAMELUNAS EXT I";;;;;20/09/2023;1
15/09/2023;352274;2;"TORNILLO 14X15-100";++;;;;20/09/2023;1
15/09/2023;5081J1;1;"BARRA ANTIACERC";++;;;;20/09/2023;1
15/09/2023;9808003980;1;"LUNA PARABRISAS";;;;;"No disponible (penuria)";1
13/09/2023;7422E6;1;CAPUCHÓN;;;;;"No disponible";1
12/09/2023;1667847980;1;"KIT ALARMA UNIVERSEL LIN";;;;;"No disponible (penuria)";1
12/09/2023;9822498280;1;"TAPA CARCASA";+++;;;;20/09/2023;1
11/09/2023;90523769;1;"CILINDRO EMISOR";+++;312156357;W0L0AHL0885080998;;20/09/2023;1
11/09/2023;9121965;12;"ACEITE CV";;312156564;W0L0AHL0885080998;;"No disponible";1
11/09/2023;93174540;1;"DISCO EMBRAGUE";+++;312156407;W0L0AHL0885080998;;20/09/2023;1
11/09/2023;93182554;1;"MECANISMO EMBRA";;312156510;W0L0AHL0885080998;;"No disponible (penuria)";1
04/09/2023;1609583080;1;"JGO 2 DISCOS DIAM 290 EP 12";;312179792;;;"No disponible (penuria)";1
30/08/2023;110437;1;"JUNTA SOPORTE";;;;;"No determinado";1
30/08/2023;1682490580;1;"PORTACARGAS ACIER LONG 2";+;312107132;;;27/09/2023;1
21/08/2023;98270086VV;1;"EMBELLECEDOR D AR";+++;;;;26/09/2023;1
26/07/2023;9812833480;1;"SOPORTE CAJA";++;;;;20/09/2023;1
25/07/2023;9826344180;1;"TAPA FIJACIÓN";++;;;;20/09/2023;1
20/07/2023;1682615580;1;"RES UREA CAMB E";++;311887115;VF3LBBHZ3HS169665;;20/09/2023;1
20/07/2023;8226GG;1;"GUARNECIDO INF";;312119581;VF3YBBMFB11443700;;"No disponible";1
05/07/2023;98329574SN;1;"MONOGRAMA D";;311802376;;;"No disponible";1
30/06/2023;16799830XT;1;"PROTECTOR D";;311750483;;;"No disponible (penuria)";1
19/06/2023;1635516880;1;"CAJA AUTONOM";;311695351;VR3F45GFTKY172054;;"PR con clave";1
16/06/2023;1636413980;1;"JGO 4 PLAQUETAS";+++;311784137;;;27/09/2023;1
11/05/2023;7414NA;0;"DEFLECTOR ENS";;;;;20/09/2023;1
11/05/2023;8665NS;0;MONOGRAMA;;;;;20/09/2023;1
11/05/2023;8665NT;0;MONOGRAMA;;;;;20/09/2023;1
11/05/2023;9816284780;0;"RECARGA KIT 300 ML";;;;;20/09/2023;1
04/05/2023;98283685DX;1;"DIFUSOR DE AIRE I";;311429088;;;"No disponible";1
03/05/2023;1637849680;1;"BOMBILLO PUERTA I";;311424222;VR3F35GFTKY147314;;19/09/2023;1
28/04/2023;1682615380;1;"DEPÓSITO UREA C";+++;311404489;VF37BBHZMJJ640768;;19/09/2023;1
24/04/2023;1629085380;1;"BATERÍA 12 V L2D - 640A - 60AH";+++;311388059;;;19/09/2023;1
22/03/2023;168132071T;1;"PROTECTOR D";;311188466;;;"No disponible (penuria)";1
21/03/2023;453467;1;"KIT CONTACTOR";;311157584;VF3XDAHZ4FZ044067;;"No determinado";1
07/03/2023;453467;1;"KIT CONTACTOR";;311039462;;;"No determinado";1
05/01/2023;98283685DX;1;"DIFUSOR DE AIRE I";;310652619;;;"No disponible";1
17/10/2022;98265890GZ;1;"FAUX PLANCHER";;;;;;1
16/09/2022;9670090880;1;"TUBO FREON";;309749432;VF3CCHMZ6GT102479;;"No disponible (penuria)";1
10/05/2022;9814855280;0;"FALDÓN PILOTO I AR";;;;;15/05/2023;1
