"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1684425280;0;CINTURON;;;;;20/09/2023;4
18/09/2023;55568175;0;O:CAPTADOR;;;;;20/09/2023;9
18/09/2023;9831167880;1;"AMORTIGUADOR I ENS";+++;;;;19/09/2023;1
15/09/2023;1614306280;1;"TRANSMISION EST D";+;312189326;;;04/10/2023;1
14/09/2023;6000620780;1;RADIADOR;;8590909;;;20/09/2023;3
13/09/2023;55491643;1;ELECTROVALVULA;+++;312180322;;;20/09/2023;12
11/09/2023;1682478380;1;"ABSORB PARAGOLP";;312152818;;;"No disponible (penuria)";1
11/09/2023;1692728880;1;"TUBO FREON";;312152858;;;"No disponible";1
05/09/2023;1659552480;1;"CAL CTRL MOT";;;VF7YDCNFC12N08329;;"PR con clave";7
04/09/2023;1690660680;1;"TUBO COMBUSTIBL";;312108106;;;"No disponible (penuria)";16
30/08/2023;GATK015705XS;1;"I:KIT DE DIST";;;;;"Pieza en curso de referencia";5
28/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
25/08/2023;9822498480;1;"TAPA CARCASA";;312102309;;;"No disponible (penuria)";7
18/08/2023;1618066680;1;"KIT SOPORT FARO D";++;312102312;;;20/09/2023;1
18/08/2023;1677608880;1;"CAJA ARTIV";;312100675;VR7BBYHZBME037649;;"PR con clave";12
16/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
11/08/2023;GATK015705XS;1;"I:KIT DE DIST";;;;;"Pieza en curso de referencia";9
07/08/2023;9822498480;1;"TAPA CARCASA";;311962326;;;"No disponible (penuria)";7
28/07/2023;982257281T;0;"TRAMPILLA ACCES";;;;;20/09/2023;1
25/07/2023;16773894ZP;1;"GUARNECIDO COJ";++;;;;20/09/2023;1
25/07/2023;1685573380;1;"PARAGOLPES AV D";;311896403;;;"No disponible (penuria)";9
10/07/2023;6002049389;1;BOQUILLA;;;;;;7
14/06/2023;1640419280;1;"CAL CTRL MOT";;311957516;;;"PR con clave";7
11/05/2023;9808416380;0;"CERRADURA D";;;;;20/09/2023;13
08/02/2023;93198774;1;TORNILLO;;311163641;;;"No disponible";7
08/02/2023;95517634;5;"ARANDELA ELAST";;311163628;;;"No disponible";7
03/11/2022;16389456ZX;1;"GUARNECIDO RESP 1/3";+++;310163652;;;06/07/2023;9
