"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1612798980;1;"LLAVE CERRADURA";;;VF7YCANFB12T51327;;21/09/2023;
18/09/2023;1612798980;1;"LLAVE CERRADURA";;;VF7YCANFB12T77771;;21/09/2023;
18/09/2023;1680227980;0;"ALFOMB TERCIOP I AV AR DAG";;;;;20/09/2023;
18/09/2023;1682837780;1;BATERIA;;;;;21/09/2023;
18/09/2023;173633;0;"MANGUITO ESC AV DIAM 55";;;;;20/09/2023;
18/09/2023;8744HG;1;"LUNETA PORTON";++;;;;21/09/2023;
18/09/2023;9836837080;1;"SOPORTE REJILLA SUP";++;;;;21/09/2023;
15/09/2023;1609851780;1;"ALFOMBR MOQUETA AV AR DAG";+++;;;;20/09/2023;
15/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
15/09/2023;9821043280;1;"TUBO FAP NUEVO TR PSA S007 PSA SF00";;;;;"Distribucion controlada : Campana de seguridad en curso";
14/09/2023;1622805080;1;"MOTOR DI EST";;312181294;VF3LBYHZJLS206387;;"No disponible (penuria)";
14/09/2023;1623158880;1;"CULATA NUEVA ENS";+++;312189344;VF3LBYHZJLS206387;;20/09/2023;
14/09/2023;9822498280;1;"TAPA CARCASA";+++;312181300;VF3LBYHZJLS206387;;20/09/2023;
13/09/2023;1647862380;1;"JGO 4 PLAQUETAS";+++;312181287;VF3WA9HZC33356409;;20/09/2023;
13/09/2023;9675350280;1;"CAJA PGA";+++;312181307;VF3MRHNYWJS096552;;20/09/2023;
13/09/2023;KLB296431;2;"NEU KLEBER 2054517 DYNAXER UHP";+++;312189352;;;20/09/2023;
12/09/2023;1636461280;1;"LUNA PUERTA AR I";+++;312181293;VF3VV4HNH8U906906;;20/09/2023;
12/09/2023;1680518480;1;"UTILLAJE R/R";;312162451;VF72CYHYJL4294736;;"No determinado";
08/09/2023;6500HW;1;CAJA;;312162468;VF3WC8HZC9E070257;;"No disponible (penuria)";
08/09/2023;9823609780;1;"ESCOBILLA PLANA D";;312162509;;;"No disponible";
31/08/2023;9665878080;1;"CAJA PGA";;312170333;;;"No disponible (penuria)";
