"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;037640;0;"TORNILLO M8X1 25-16";;;;;20/09/2023;1
18/09/2023;13234241;0;"O:ASA TIRO I AV";;;;;20/09/2023;
18/09/2023;13355470;0;"SOP EMBELLECED D";;;;;20/09/2023;
18/09/2023;1500GV;1;"DEPOSITO COMBUS";++;;;;21/09/2023;1
18/09/2023;1507F5;1;"TUBO DE RETORNO";++;;;;21/09/2023;1
18/09/2023;1507F6;1;"TUBO COMBUSTIBL";++;;;;21/09/2023;1
18/09/2023;1525JV;1;AFORADOR;++;;;;21/09/2023;1
18/09/2023;1570P3;1;"RAMPA INYECTOR";++;;;;21/09/2023;1
18/09/2023;1610704680;1;"JGO 2 DISCOS DIAM 266 EP 22";;312201560;VF3LBYHYPLS183040;;"No disponible (penuria)";1
18/09/2023;1616875880;0;"ALFOMB TERCIOP AV AR DAG";;;;;20/09/2023;1
18/09/2023;1622805080;1;"MOTOR DI EST";;;;;"No disponible (penuria)";
18/09/2023;1640627580;0;"CABLERIA D";;;;;20/09/2023;
18/09/2023;1682620880;1;"DEPÓSITO UREA";;;;;"No disponible (penuria)";
18/09/2023;2403L4;0;"POMO PALANCA";;;;;20/09/2023;
18/09/2023;39171932;0;"O:PUERTA TR I";;;;;20/09/2023;
18/09/2023;621546;0;"PORTALAMPARA PY21W";;;;;20/09/2023;1
18/09/2023;6460PE;1;"TUBO FREON";++;;;;21/09/2023;
18/09/2023;7414PS;1;"REJILLA SUP";;;;;"No disponible";
18/09/2023;8975SL;1;"HEBILLA CINTURO I";++;;;;21/09/2023;
18/09/2023;9151C1;1;"VARILLA MANDO";++;;;;21/09/2023;2
18/09/2023;9181K3;0;"TIRANTE TOPE AV";;;;;20/09/2023;
18/09/2023;95518699;1;"PANEL LATERAL D";;;;;"No disponible";
18/09/2023;9675840180;0;"TORNILLO BIELA MJS 6 5X1 00-35";;;;;20/09/2023;
18/09/2023;9808694580;0;"CABLE CAJA GATO EP = 70";;;;;20/09/2023;
18/09/2023;9809880480;0;"TORNILLO CARTER BI HEX M9X1 25-75 2";;;;;20/09/2023;
