"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN562602;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564816;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN565307;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN567395;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN570772;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564089;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564088;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN562602;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN569658;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN565307;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564089;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564848;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564088;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564848;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN567394;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN571723;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN571740;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564425;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564425;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564816;;"PR con clave";16
