"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1617020180;1;"LLAVE CERRADURA";;;VR7EAZKXZMJ959484;;21/09/2023;
18/09/2023;55514397;1;"JUNTA DE TUBO";;;;;"No disponible (penuria)";
18/09/2023;6925P3;0;"TORNILLO DIAM 6X100-70";;;;;20/09/2023;
18/09/2023;9809338480;0;"ROTULA BRAZO AV";;;;;20/09/2023;
18/09/2023;9833656380;0;"ALFOMBR MOQUETA I AV AR DAG";;;;;20/09/2023;
15/09/2023;1631631980;1;"ETIQUETA PRES";;;VR7EFYHT2NN560294;;20/09/2023;
15/09/2023;1631631980;1;"ETIQUETA PRES";;;VR7EFYHT2NN562420;;20/09/2023;
15/09/2023;9834798680;1;"CAJA CAMBIOS NE";++;312194191;;;21/09/2023;
14/09/2023;1671768780;1;"LLAVE EMISOR HF";;;VXKUPHNEKM4077245;;19/09/2023;
13/09/2023;1631887180;1;"TURBO ESTANDAR";+;312201398;VXEVBYHRKMZ003661;;28/09/2023;
13/09/2023;3641364;1;"LLAVE CERRADURA";;;W0V7D9ED4N4201604;;18/09/2023;
12/09/2023;1688335080;1;"SOPORTE CÁMARA";+++;;;;19/09/2023;
12/09/2023;55570047;1;"O:TUBO ALIM";;;;;"No disponible";
12/09/2023;9822498280;1;"TAPA CARCASA";+++;;;;20/09/2023;
12/09/2023;YR00102380;10;TUERCA;;;;;20/09/2023;
11/09/2023;9822498280;1;"TAPA CARCASA";+++;;;;20/09/2023;
08/09/2023;1614322180;1;TUERCA;;;;;"No disponible";
08/09/2023;1618066680;1;"KIT SOPORT FARO D";++;312181091;VF7SXHNPZLT614056;;20/09/2023;
06/09/2023;98436913XU;1;"DIFUSOR DE AIRE";+++;312137702;VR7ARHNSKNL061990;;20/09/2023;
01/09/2023;39222591;1;FRONTAL;;;;;"No disponible";
01/09/2023;55491643;1;ELECTROVALVULA;+++;312100253;;;20/09/2023;
21/08/2023;13297393;1;PLACA;;;;;"No disponible";
16/08/2023;55495320;1;"TUBO ENGRASE";;;;;"No disponible (penuria)";
16/08/2023;55506629;1;"JUNTA DE TURBO";;;;;"No disponible (penuria)";
16/08/2023;55514397;2;"JUNTA DE TUBO";;312076814;;;"No disponible (penuria)";
16/08/2023;9827091880;1;"SILENCIOSO AR PSA 4383";;312017575;;;"No disponible";
11/08/2023;13588683;1;"LLAVE EMISOR HF";;312126197;W0VBD6EB9KG390672;;"PR con clave";
11/08/2023;9665878080;1;"CAJA PGA";;311996073;VF7NCBHY6FY553314;;"No disponible (penuria)";
08/08/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
03/08/2023;8151LJ;1;"ESPEJO RETROVIS I";;311998688;;;"No disponible";
01/08/2023;984079171T;1;"PROTECTOR D";;311933191;W0VZRHNS5P6011739;;"No disponible";
31/07/2023;9836177580;1;"KIT REPAR NEUM";;311933192;;;"No determinado";
27/07/2023;1691344480;1;"CARGADOR BATERI";;311929684;VXKUHZKXZL4191783;;"PR con clave";
25/07/2023;1607144380;1;"LLAVE ANTIRROBO";;311904428;VF7RDRHRH54044906;;20/09/2023;
24/07/2023;1612798980;1;"LLAVE CERRADURA";;311899703;VF7YCANFB12T05020;;20/09/2023;
19/07/2023;9822498280;1;"TAPA CARCASA";+++;311880488;;;20/09/2023;
18/07/2023;9822498480;1;"TAPA CARCASA";;311854350;;;"No disponible (penuria)";
14/07/2023;55491643;1;ELECTROVALVULA;+++;311854357;;;20/09/2023;
13/07/2023;1682203980;1;"PANEL GUARNECID";;311824259;;;"No disponible";
10/07/2023;9822498280;1;"TAPA CARCASA";+++;311824207;;;20/09/2023;
04/07/2023;11098511;4;"TORNILLO D";;311824214;;;"En crisis Desde el 20/07/2022";
07/06/2023;1638159480;1;"VÁLVULA EGR EST";;311824219;;;"No disponible (penuria)";
31/05/2023;8151LJ;1;"ESPEJO RETROVIS I";+++;311809904;;;20/09/2023;
31/05/2023;YR00102380;10;TUERCA;;311824222;;;"No disponible";
30/05/2023;1682620880;1;"DEPÓSITO UREA";;311823658;;;"No disponible (penuria)";
30/05/2023;9822498280;1;"TAPA CARCASA";+++;311824225;;;20/09/2023;
18/05/2023;1682620880;1;"DEPÓSITO UREA";;311823652;;;"No disponible (penuria)";
14/04/2023;1682616380;1;"DEPÓSITO UREA C";;311468030;VXKUBYHYJL4278878;;"No disponible (penuria)";
04/04/2023;13598775;1;"MODULO EMISOR";;311459174;W0LWT3DC2GG053502;;"No disponible";
09/03/2023;1682620880;1;"DEPÓSITO UREA";;311068141;;;"No disponible (penuria)";
01/03/2023;YP00099580;1;"CORREA TRIANGUL";;311824245;;;"No disponible";
13/02/2023;1628704280;1;AUTORRADIO;;310925883;VF7VBYHVKL7061263;;"PR con clave";
10/02/2023;55567506;2;O:DISTANCIADOR;;311824248;;;"No disponible";
08/11/2022;9807279280;1;JUNTA;++;;;;06/07/2023;
22/04/2022;210550;0;"CASQUILLO GUIA";"- - ";;;;15/05/2023;
