"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1607742580;1;"TRAVIESA FACHAD";++;;;;21/09/2023;
18/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
20/06/2023;1632266080;2;"ESPUMA EXPANSIB";;311813520;VF73AHNYMFJ760007;;"No disponible";
09/06/2023;233934;1;"DISTANCIADOR 25 043X32-24 275";;;;;"No disponible (penuria)";
07/06/2023;9665878080;1;"CAJA PGA";;;;;"No disponible (penuria)";
06/06/2023;9676523180;1;"SOPORTE MOTOR INTM D";;311604337;VF7NCHNYMHY542605;;"No disponible (penuria)";
24/05/2023;1682620880;3;"DEPÓSITO UREA";++;311538454;VF70BYHYJLE512280;6331322;22/09/2023;
19/05/2023;9665878080;1;"CAJA PGA";;311501394;VF7NXBHZMFY573030;;"No disponible (penuria)";
04/05/2023;1634737680;1;"CAJA DE MANDO";;311433268;VR3EFBHYBKN513228;;19/09/2023;
04/04/2023;1682620880;1;"DEPÓSITO UREA";++;311241430;VF72CYHYJK4424331;;22/09/2023;
28/12/2022;9803322680;1;"PANTALLA TERM INTERMEDIAIRE AV";;310495094;;;"No disponible (penuria)";
