"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;1614202480;1;PROTECTOR;;;;;"No disponible";
18/09/2023;1687683680;0;"E:KIT CORREA";;;;;20/09/2023;
14/09/2023;735627299;1;"AIR BAG";;;;;;
13/09/2023;9170GS;1;"KIT CIERRE PTA I";;;VF37ABHY6GN504428;;"PR con clave";
13/09/2023;9170GT;1;"KIT CIERRE PTA";;;VF37ABHY6GN504428;;"PR con clave";
07/09/2023;1637311680;1;"CAJA MANDO";;;;;"No disponible";
06/09/2023;52081769;1;CONDENSADOR;;;;;19/09/2023;
06/09/2023;735684876;1;"CINTURON DE SEGU-";;;;;;
05/09/2023;98270091VV;1;"EMBELLECEDOR I SUP";+++;312133638;;;27/09/2023;
28/07/2023;6450XR;0;RESISTENCIA;;;;;20/09/2023;
26/07/2023;98519218ZY;0;"DISCO CHAPA 7J16 H2 5-46";;;;;20/09/2023;
18/07/2023;GATK015705XS;1;"I:KIT DE DIST";;;;;"Pieza en curso de referencia";
08/06/2023;93197651;1;"PROTECTOR I AR";+++;;;;20/09/2023;
06/06/2023;1680022780;1;"PILOTO AR I";;311599424;;;"No disponible (penuria)";
17/05/2023;96673722ZD;1;COMMUTADOR;;311496808;;;"No disponible";
11/05/2023;98165386TW;0;EMBELLECEDOR;;;;;20/09/2023;
08/05/2023;6460AZ;1;"JUNTA DE TUBO";+;;;;27/10/2023;
05/05/2023;4701E4;1;"PALANCA FRENO";+++;;;;19/09/2023;
24/03/2023;YR00413080;1;"TRAMPILLA ACCES AVANT";;;;;"No disponible";
23/03/2023;YR00413080;1;"TRAMPILLA ACCES AVANT";;311167543;;;"No disponible";
10/01/2023;1692638380;1;"CAJA DE MANDO";;311426510;VR7BBYHZBME067941;;"PR con clave";
13/12/2022;8320N1;1;"SOPORTE D";+;310387850;;;04/10/2023;
11/11/2022;672594;0;"GATO ELEVACION";;;;;06/07/2023;
22/04/2022;6542FK;0;"FUNDA ANILLADA DIAM 6X9 LONG 1550";;;;;15/05/2023;
