"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;12616850;10;"JUNTA DE TAPON";;;;;"No disponible";
13/12/2023;1609531680;1;"LLAVE (INSERTO)";;;VR7ACYHZSPL046519;;18/12/2023;
13/12/2023;1633556480;1;"CAJA CAMBIO EST";++;;;;20/12/2023;
13/12/2023;42613005;1;"O:EMBE MATR";;;;;"No disponible";
12/12/2023;YL01854980;1;"PUERTA AV I";++;;;;15/12/2023;
12/12/2023;YL018695XT;1;"PARAGOLPES AR";;;;;"No disponible (penuria)";
12/12/2023;YL01891280;1;"ALETA DELANTERA I";;;;;"No disponible (penuria)";
12/12/2023;YL01951880;1;"TIRANTE TOPE";++;;;;20/12/2023;
12/12/2023;YL01953480;1;"PROTECTOR I AV INF";+;;;;27/02/2024;
11/12/2023;1659574280;1;"COMBIN. SALPIC.";+++;312758966;;;15/12/2023;
11/12/2023;90424394;1;DISTANCIADOR;++;;;;19/12/2023;
11/12/2023;91160230;1;"TAPA CORREDERA";;312756451;;;"No disponible";
07/12/2023;84880436;1;"CAL UREA";;312747990;W0VBD6EN9KG348593;;"No disponible (penuria)";
29/11/2023;1671969980;1;AIRBAG;;312702834;;;"Distribucion controlada : Campana de seguridad en curso";
27/11/2023;12616850;1;"JUNTA DE TAPON";;312730218;;;"No disponible";
16/11/2023;12616850;2;"JUNTA DE TAPON";;312678368;;;"No disponible";
16/11/2023;13574868;1;"LLAVE EMISOR HF";;312678370;W0LDD6E74GC505836;;"PR con clave";
10/11/2023;12616850;5;"JUNTA DE TAPON";;312678373;;;"No disponible";
07/11/2023;25206066;1;"BOMBA DE VACIO";;312678376;;;"En curso de remplazamiento";
31/10/2023;95529211;1;"MOTOR EST GASOL";;312493376;W0VBD6EA6KG376249;;"No disponible (penuria)";
13/10/2023;13588683;1;"LLAVE EMISOR HF";;312393155;W0VBD6EB8KG360532;;15/12/2023;
09/10/2023;13484480;1;"TOMA ENTRADA";;312341106;W0VJD7EZ7K4037203;;"No disponible (penuria)";
06/10/2023;13469599;1;"O:EMBE PG D";;312346588;;;"No disponible";
06/10/2023;93171294;2;"JUNTA INTERCAMB";;312388034;;;"No disponible";
04/10/2023;93165391;1;"AEROSOL PINTURA";;312335962;;;"No disponible";
12/09/2023;23163578;1;"O:RACOR AIRE";;312198059;;;"No disponible";
31/08/2023;95321793;1;CONDENSADOR;;312098702;;;"No disponible";
29/08/2023;13327610;1;"TAPON LLENADO";;312098705;;;CESIÓN;
22/08/2023;90501145;1;"TAPON LLENADO";;312057596;;;"No disponible";
18/08/2023;735463061;1;"TAPA DE RUEDA";;8566244;;;;
17/08/2023;735592507;1;PLATAFORMA;;8559703;;;;
16/08/2023;46350119;5;JUNTA;;8575020;;;;
28/07/2023;2000003200;1;"EQUIPO DE TALLER";;;;;;
27/07/2023;25204641;1;"BOMBA DE VACIO";;311926158;;;"Pieza remplazada";
24/07/2023;K04796233AB;1;;;8567102;;;;
18/07/2023;50521923;1;"DISPOSITIVO DE";;8693124;;;;
17/07/2023;50529951;1;"CRISTAL ATERMICO";;8546184;ZAR94000007362497;;;
14/07/2023;19368034;1;"VARILLA C/S";;311845499;W0L0MAP08F6083790;;"No disponible (penuria)";
04/07/2023;735463061;1;"TAPA DE RUEDA";;8567699;;;;
