"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;095650;0;"RETEN VALVULA";;;;;20/09/2023;
18/09/2023;1622805080;1;"MOTOR DI EST";;312200224;VF3MCYHZMMS177628;;"No disponible (penuria)";
18/09/2023;966323;0;"ALFOMBR MONOBL BI 1ÀG";;;;;20/09/2023;
18/09/2023;9826979080;0;"VALVULA ESCAPE";;;;;20/09/2023;
15/09/2023;1609532780;1;"FILTRO PART EST TR PSA F026";;312200354;VF37J9HN0DN539867;;"No disponible (penuria)";
15/09/2023;1609851780;1;"ALFOMBR MOQUETA AV AR DAG";+++;;;;20/09/2023;
15/09/2023;9826063780;1;"ARBOL PRIMARIO 1ERE 11X38-2EME 21X4";;312200384;VR3UPHNEKLT131017;;"No disponible (penuria)";
13/09/2023;1622805080;1;"MOTOR DI EST";+++;312174437;VR3ECYHZJJJ869677;;20/09/2023;
13/09/2023;1643637480;1;"C CAMBIO AUT ES";+++;312185311;;;20/09/2023;
13/09/2023;1654515880;1;"KIT COMPLETO";;312174401;;;"No determinado";
13/09/2023;9810533880;2;"DISCO CHAPA 7 J 17 H2 5-42";+++;312181251;;;20/09/2023;
13/09/2023;9822498280;1;"TAPA CARCASA";+++;312174880;;;20/09/2023;
13/09/2023;9927FT;2;"LLAVE CERRADURA";;;VF35FWJZE60387321;;"PR con clave";
12/09/2023;1682737280;1;"E:TRIANG SUSP I";;312164694;;;"No determinado";
12/09/2023;3817A1;1;"KIT ROTULA I";+++;312164627;;;20/09/2023;
12/09/2023;5402EX;1;"DISCO ALEACION 7J16 CH5-46";+++;;;;20/09/2023;
07/09/2023;1611608880;1;"PARAGOLPES AR";+++;312146621;;;22/09/2023;
06/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
25/08/2023;9822498280;1;"TAPA CARCASA";+++;312090699;;;20/09/2023;
18/08/2023;1688545980;1;IVI;;312026393;VR3FBYHZTNY525786;;"PR con clave";
26/07/2023;6477GQ;1;"TUBO FREON";;311901445;;;"No disponible (penuria)";
25/07/2023;7840R0;1;"ALETA DELANTERA I";++;;;;20/09/2023;
11/07/2023;9837168080;1;"KIT SOPORT FARO I";+++;311811609;VR3FCYHZTPY504999;;20/09/2023;
05/05/2023;16772069XX;1;"GUARNECIDO RESP I CONDUCTEUR";+;311427953;;;07/11/2023;
05/05/2023;1682629280;1;"CREMALLERA EST";;311433802;VF3MJAHXHJL002537;;19/09/2023;
05/05/2023;9170X3;1;"LLAVE EMISOR HF";;311430788;VF36DRHRH21535777;;19/09/2023;
14/03/2023;9676009780;1;"EMBELLECEDOR D";++;311128027;;;12/09/2023;
23/12/2022;98329574SN;1;"MONOGRAMA D";;310471277;;;"No disponible";
23/12/2022;98329575SN;1;"MONOGRAMA I";;310471276;;;"No disponible";
10/11/2022;9807279280;1;JUNTA;++;;;;06/07/2023;
22/04/2022;9822370580;0;"REJILLA PG DEL SUP";"- - ";;;;15/05/2023;
