"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
13/12/2023;1870896900;1;UTIL;;8696629;;;09/02/2024;
13/12/2023;2027400090;1;"EQUIPO DE TALLER";;8696631;;;22/01/2024;
13/12/2023;2063300091;1;"EQUIPO DE TALLER";;8696627;;;19/02/2024;
12/12/2023;156129665;1;FORRO;;8695149;ZARPAHPX3L7C78148;;;
12/12/2023;162788;1;"RESERVA VACIO";+++;;;;18/12/2023;
11/12/2023;156164038;1;SOPORTE;;8695184;;;22/12/2023;
11/12/2023;50534048;2;TORNILLO;;8695180;ZARPAHDX4L7D04003;;18/12/2023;
11/12/2023;K68306517AA;1;BISAGRA;;8695186;;;22/12/2023;
07/12/2023;51807841;1;VIROLA;;8695195;ZFABF5CJ2N3H56356;;18/12/2023;
01/12/2023;735713059;1;EMBELLECEDOR;;8695206;;;;
01/12/2023;735719428;1;EMBELLECEDOR;;8695207;;;;
30/11/2023;52077979;1;"CAJA DE DIRECCION";;8683055;ZFA26300006Y15395;;03/01/2024;
29/11/2023;735616052;1;TAPA;;8681880;;;15/01/2024;
28/11/2023;735709641;1;SOMBRERERA;;8681879;;;13/02/2024;
23/11/2023;50535252;1;"TIRANTE DE RETEN-";;8675504;ZARPAHPX3L7C78148;;01/12/2023;
23/11/2023;6500122986;1;"FORRO RESPALDO";;8675507;ZARPAHPX3L7C78148;;;
15/11/2023;735517002;1;"CINTURON DE SEGU-";;8671126;;;16/02/2024;
15/11/2023;9850170480;1;"ETIQUETA TRAD I";+;;;;28/12/2023;
31/10/2023;6002388904;3;CATALOGO;;;;;;
26/10/2023;95299511;1;"O:ASA TIRO";+++;;;;15/12/2023;
25/10/2023;735596626;1;MANECILLA;;8643491;;;20/12/2023;
11/10/2023;55258458;8;TORNILLO;;8629176;ZFACF1CJ2NJG13870;;23/10/2023;
10/10/2023;60653974;5;TORNILLO;;8629192;ZFA3120000JD50002;;24/10/2023;
10/10/2023;K68048466AA;2;TUERCA;;8634076;;;20/12/2023;
29/09/2023;735713059;1;EMBELLECEDOR;;8611510;;;;
20/09/2023;9673238980;1;"SOPORTE RUEDA";;;;;"No disponible";
07/08/2023;71779307;1;"BOMBONITA PARA GOMA";;8550356;;;;
17/07/2023;K68217208AA;1;VARILLA;;8552273;;;;
12/07/2023;1621257780;6;"TORNILLO VOLANT M8X1 25";;311964312;;;"No disponible (penuria)";
07/07/2023;735682982;1;"CINTURON DE SEGU-";;8534995;;;;
