"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
14/12/2023;1518E4;1;"CAJA DE LLENADO";;312778866;;;"No disponible (penuria)";9
14/12/2023;1610461680;1;"PROTECTOR D";++;;;;19/12/2023;9
14/12/2023;1690533380;2;AMORTIGUADOR;;;;;;1
14/12/2023;93861413;1;"O:RACOR AIRE";;312778334;W0LJ7A7A6BV649825;;"No disponible (penuria)";7
14/12/2023;96778765ZD;0;"DIFUSOR DE AIRE I";;;;;18/12/2023;4
14/12/2023;96778766ZD;0;"DIFUSOR DE AIRE D";;;;;15/12/2023;4
14/12/2023;96782700ZD;0;"DIFUSOR DE AIRE D";;;;;15/12/2023;4
14/12/2023;96782701ZD;0;"DIFUSOR DE AIRE I";;;;;15/12/2023;4
14/12/2023;98190721XU;1;EMBELLECEDOR;++;;;;19/12/2023;4
14/12/2023;9830100780;1;ARMADURA;+++;;;;18/12/2023;12
14/12/2023;98340236DX;1;MONOGRAMA;;;;;;3
13/12/2023;1685573380;1;"PARAGOLPES AV D";;312770783;VF7YDCPAU12V60239;;"No disponible (penuria)";9
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN562602;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564816;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN565307;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN567395;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN570772;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564089;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564088;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN562602;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN569658;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN565307;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564089;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564848;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564088;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564848;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN567394;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN571723;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN571740;;15/12/2023;16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564425;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564425;;"PR con clave";16
12/12/2023;1607832480;1;"ETIQUETA CONST";;;VR7EFYHT2NN564816;;"PR con clave";16
12/12/2023;1679743280;1;"E:TRIÁNG SUSP";;312762093;;;"No disponible";1
04/12/2023;1688045880;1;"MANDO DE CAPOT";++;312710278;VF77A9HN0CN546833;;20/12/2023;13
30/11/2023;1675873780;1;"MOTOR DI EST";;312693854;;;"No disponible (penuria)";1
28/11/2023;1607832480;1;"ETIQUETA CONST";;312743771;VR7EFYHT2NN574286;;"PR con clave";1
27/11/2023;1613712080;1;"E:ABRAZAD PSA";+++;312729618;;;18/12/2023;6
27/11/2023;1640324380;1;"PANTALLA TERM";+++;;;;20/12/2023;12
27/11/2023;52231015;1;"ELEVADOR DE";;8678928;;;;9
21/11/2023;1640419280;1;"CAL CTRL MOT";;;;;"PR con clave";7
21/11/2023;9823194780;1;"JUNTA DE PUERTA D";;312627498;;;"No disponible";12
20/11/2023;FAUFS45535K;1;I:CATALIZADOR;;;;;"No disponible";9
15/11/2023;1692287080;20;BALANCIN;;312593122;;;"No disponible (penuria)";7
14/11/2023;16799829XT;1;"PROTECTOR I";;312581138;;;"No disponible (penuria)";12
13/11/2023;1692287080;10;BALANCIN;;312567163;;;"No disponible (penuria)";7
13/11/2023;1692287080;10;BALANCIN;;312568204;;;"No disponible (penuria)";7
10/11/2023;GATK015705XS;1;"I:KIT DE DIST";;;;;"Pieza en curso de referencia";12
07/11/2023;1679450680;1;"VOLANTE MOT EST";;;;;"Ya no se suministra";9
03/11/2023;1692301680;1;RECEPTOR;;312508201;;;"No disponible";7
11/10/2023;1684960680;1;AUTORRADIO;;312456726;;;"No disponible";7
11/09/2023;1692728880;1;"TUBO FREON";;312152858;;;"No disponible (penuria)";1
28/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
16/08/2023;1684869680;1;"TUBO FREON";;;;;"Pieza remplazada";1
25/07/2023;1685573380;1;"PARAGOLPES AV D";;311896403;;;"No disponible (penuria)";9
03/11/2022;16389456ZX;1;"GUARNECIDO RESP 1/3";+++;310163652;;;12/12/2023;9
